1	0	4
2	3	4
3	18	6
4	23	3
5	40	6
6	47	7
7	54	4
8	67	7
9	67	4
10	87	3
11	88	3
12	99	8
13	106	3
14	107	5
15	119	5
16	123	7
17	131	4
18	138	8
19	144	7
20	159	7
21	178	4
22	192	3
23	197	8
24	201	7
25	211	7
26	224	7
27	237	5
28	252	3
29	253	3
30	263	6
31	269	8
32	276	3
33	279	7
34	284	7
35	293	7
36	299	7
37	315	3
38	335	7
39	346	3
40	348	6
41	364	8
42	381	4
43	399	5
44	414	4
45	433	4
46	438	3
47	438	3
48	458	4
49	475	3
50	495	8
51	511	7
52	523	4
53	532	4
54	539	3
55	544	4
56	546	5
57	547	5
58	565	3
59	582	7
60	582	4
61	596	6
62	600	8
63	615	3
64	621	6
65	621	7
66	627	5
67	640	3
68	642	8
69	650	5
70	655	6
71	659	7
72	660	4
73	664	5
74	684	6
75	702	4
76	706	4
77	707	3
78	708	6
79	718	6
80	736	7
81	749	3
82	749	5
83	752	5
84	771	6
85	785	3
86	789	3
87	795	6
88	813	3
89	822	8
90	826	3
91	840	3
92	855	5
93	872	8
94	878	8
95	896	8
96	902	7
97	920	8
98	932	5
99	943	6
100	948	3
101	967	7
102	970	7
103	971	5
104	972	7
105	982	8
106	991	8
107	997	8
108	1005	8
109	1014	6
110	1025	4
111	1031	5
112	1039	8
113	1039	5
114	1042	3
115	1044	6
116	1047	6
117	1057	7
118	1057	6
119	1071	5
120	1080	5
121	1081	7
122	1095	8
123	1097	5
124	1099	7
125	1109	4
126	1119	5
127	1137	6
128	1137	6
129	1153	4
130	1170	5
131	1190	5
132	1201	5
133	1213	7
134	1233	5
135	1233	6
136	1253	6
137	1255	5
138	1272	5
139	1282	7
140	1283	8
141	1294	3
142	1312	7
143	1327	8
144	1330	7
145	1332	6
146	1338	7
147	1338	4
148	1350	3
149	1361	6
150	1372	4
151	1378	5
152	1387	3
153	1402	5
154	1406	7
155	1412	3
156	1427	3
157	1434	8
158	1449	5
159	1449	7
160	1457	3
161	1471	4
162	1484	7
163	1504	5
164	1520	7
165	1538	4
166	1556	5
167	1571	8
168	1583	7
169	1603	4
170	1614	7
171	1621	6
172	1628	3
173	1640	8
174	1646	5
175	1647	7
176	1649	4
177	1665	4
178	1680	7
179	1691	5
180	1705	8
181	1712	4
182	1732	8
183	1738	8
184	1751	3
185	1760	7
186	1766	5
187	1783	4
188	1796	5
189	1802	5
190	1811	5
191	1826	3
192	1836	4
193	1849	5
194	1867	3
195	1886	8
196	1897	5
197	1911	6
198	1920	3
199	1940	3
200	1940	5
