0	0	0
1	9	5
2	26	4
3	56	6
4	85	5
5	85	4
6	94	4
7	105	3
8	123	4
9	140	5
10	150	6
11	153	8
12	162	4
13	175	4
14	175	4
15	178	3
16	182	5
17	183	8
18	209	8
19	227	7
20	243	4
21	248	6
22	275	3
23	291	7
24	298	6
25	323	8
26	325	3
27	345	3
28	372	3
29	374	4
30	378	6
31	402	3
32	419	8
33	424	7
34	435	3
35	450	3
36	450	4
37	473	7
38	485	6
39	513	6
40	518	5
41	544	6
42	561	8
43	571	5
44	595	7
45	597	5
46	622	5
47	628	4
48	629	6
49	638	8
50	658	8
51	673	8
52	695	5
53	705	7
54	707	6
55	719	5
56	729	5
57	753	4
58	772	5
59	795	3
60	805	7
61	807	4
62	824	8
63	833	6
64	860	5
65	861	3
66	877	5
67	907	6
68	914	7
69	932	3
70	945	3
71	946	7
72	957	7
73	967	3
74	993	6
75	1000	7
76	1005	5
77	1035	3
78	1036	4
79	1051	6
80	1060	4
81	1079	5
82	1080	5
83	1099	5
84	1122	6
85	1132	5
86	1143	8
87	1170	8
88	1173	4
89	1174	7
90	1182	6
91	1191	8
92	1212	7
93	1236	6
94	1248	8
95	1248	5
96	1259	7
97	1268	5
98	1288	7
99	1292	5
100	1320	6
101	1347	8
102	1371	6
103	1386	8
104	1400	3
105	1411	5
106	1438	3
107	1442	3
108	1455	4
109	1470	4
110	1479	5
111	1505	3
112	1530	8
113	1543	8
114	1548	3
115	1552	3
116	1557	4
117	1557	5
118	1574	8
119	1586	4
120	1594	7
121	1610	6
122	1616	7
123	1641	4
124	1655	4
125	1667	5
126	1685	8
127	1704	8
128	1719	3
129	1731	7
130	1756	8
131	1767	5
132	1787	3
133	1788	5
134	1813	7
135	1821	5
136	1831	6
137	1845	5
138	1851	4
139	1854	7
140	1880	3
141	1884	5
142	1888	4
143	1893	8
144	1903	8
145	1904	5
146	1915	4
147	1921	5
148	1928	4
149	1929	4
150	1949	6
151	1951	6
152	1975	5
153	2005	4
154	2024	5
155	2047	6
156	2073	3
157	2095	6
158	2118	4
159	2121	5
160	2145	6
161	2151	3
162	2153	8
163	2163	7
164	2167	7
165	2183	6
166	2183	8
167	2204	5
168	2220	8
169	2250	5
170	2251	5
171	2263	5
172	2283	6
173	2291	4
174	2307	7
175	2335	6
176	2344	6
177	2371	7
178	2391	3
179	2416	3
180	2433	7
181	2437	6
182	2456	7
183	2478	7
184	2494	5
185	2513	6
186	2526	5
187	2550	8
188	2570	6
189	2571	5
190	2580	7
191	2598	3
192	2603	5
193	2623	6
194	2645	3
195	2648	5
196	2658	3
197	2674	8
198	2678	8
199	2693	7
200	2694	3
